pair,slot,algorithm,our_cost,nx_cost,verdict
173,07:30,ucs,423.164750,423.164750,PASS
173,07:30,astar,423.164750,423.164750,PASS
174,07:30,ucs,621.686500,621.686500,PASS
174,07:30,astar,621.686500,621.686500,PASS
175,07:30,ucs,784.539339,784.539339,PASS
175,07:30,astar,784.539339,784.539339,PASS
176,07:30,ucs,939.480875,939.480875,PASS
176,07:30,astar,939.480875,939.480875,PASS
177,07:30,ucs,501.846375,501.846375,PASS
177,07:30,astar,501.846375,501.846375,PASS
178,07:30,ucs,460.022679,460.022679,PASS
178,07:30,astar,460.022679,460.022679,PASS
179,07:30,ucs,857.068464,857.068464,PASS
179,07:30,astar,857.068464,857.068464,PASS
180,07:30,ucs,447.861375,447.861375,PASS
180,07:30,astar,447.861375,447.861375,PASS
181,07:30,ucs,273.621500,273.621500,PASS
181,07:30,astar,273.621500,273.621500,PASS
182,07:30,ucs,694.112018,694.112018,PASS
182,07:30,astar,694.112018,694.112018,PASS
183,07:30,ucs,450.738054,450.738054,PASS
183,07:30,astar,450.738054,450.738054,PASS
184,07:30,ucs,443.113929,443.113929,PASS
184,07:30,astar,443.113929,443.113929,PASS
185,07:30,ucs,451.044982,451.044982,PASS
185,07:30,astar,451.044982,451.044982,PASS
186,07:30,ucs,861.412089,861.412089,PASS
186,07:30,astar,861.412089,861.412089,PASS
187,07:30,ucs,491.707339,491.707339,PASS
187,07:30,astar,491.707339,491.707339,PASS
188,07:30,ucs,611.632000,611.632000,PASS
188,07:30,astar,611.632000,611.632000,PASS
189,07:30,ucs,315.214893,315.214893,PASS
189,07:30,astar,315.214893,315.214893,PASS
190,07:30,ucs,314.507000,314.507000,PASS
190,07:30,astar,314.507000,314.507000,PASS
191,07:30,ucs,947.467571,947.467571,PASS
191,07:30,astar,947.467571,947.467571,PASS
192,07:30,ucs,359.848857,359.848857,PASS
192,07:30,astar,359.848857,359.848857,PASS
193,07:30,ucs,202.426000,202.426000,PASS
193,07:30,astar,202.426000,202.426000,PASS
194,07:30,ucs,695.910446,695.910446,PASS
194,07:30,astar,695.910446,695.910446,PASS
195,07:30,ucs,769.183286,769.183286,PASS
195,07:30,astar,769.183286,769.183286,PASS
196,07:30,ucs,220.939000,220.939000,PASS
196,07:30,astar,220.939000,220.939000,PASS
197,07:30,ucs,631.484643,631.484643,PASS
197,07:30,astar,631.484643,631.484643,PASS
198,07:30,ucs,926.642893,926.642893,PASS
198,07:30,astar,926.642893,926.642893,PASS
199,07:30,ucs,561.072196,561.072196,PASS
199,07:30,astar,561.072196,561.072196,PASS
0,22:00,ucs,357.734000,357.734000,PASS
0,22:00,astar,357.734000,357.734000,PASS
1,22:00,ucs,561.680893,561.680893,PASS
1,22:00,astar,561.680893,561.680893,PASS
2,22:00,ucs,464.612714,464.612714,PASS
2,22:00,astar,464.612714,464.612714,PASS
3,22:00,ucs,401.157625,401.157625,PASS
3,22:00,astar,401.157625,401.157625,PASS
4,22:00,ucs,401.034857,401.034857,PASS
4,22:00,astar,401.034857,401.034857,PASS
5,22:00,ucs,395.918196,395.918196,PASS
5,22:00,astar,395.918196,395.918196,PASS
6,22:00,ucs,400.570321,400.570321,PASS
6,22:00,astar,400.570321,400.570321,PASS
7,22:00,ucs,441.162625,441.162625,PASS
7,22:00,astar,441.162625,441.162625,PASS
8,22:00,ucs,365.814750,365.814750,PASS
8,22:00,astar,365.814750,365.814750,PASS
9,22:00,ucs,479.747000,479.747000,PASS
9,22:00,astar,479.747000,479.747000,PASS
10,22:00,ucs,265.069304,265.069304,PASS
10,22:00,astar,265.069304,265.069304,PASS
11,22:00,ucs,537.084286,537.084286,PASS
11,22:00,astar,537.084286,537.084286,PASS
12,22:00,ucs,257.890857,257.890857,PASS
12,22:00,astar,257.890857,257.890857,PASS
13,22:00,ucs,404.130429,404.130429,PASS
13,22:00,astar,404.130429,404.130429,PASS
14,22:00,ucs,507.664625,507.664625,PASS
14,22:00,astar,507.664625,507.664625,PASS
15,22:00,ucs,636.828375,636.828375,PASS
15,22:00,astar,636.828375,636.828375,PASS
16,22:00,ucs,402.589000,402.589000,PASS
16,22:00,astar,402.589000,402.589000,PASS
17,22:00,ucs,347.435571,347.435571,PASS
17,22:00,astar,347.435571,347.435571,PASS
18,22:00,ucs,574.633250,574.633250,PASS
18,22:00,astar,574.633250,574.633250,PASS
19,22:00,ucs,479.098339,479.098339,PASS
19,22:00,astar,479.098339,479.098339,PASS
20,22:00,ucs,394.748357,394.748357,PASS
20,22:00,astar,394.748357,394.748357,PASS
21,22:00,ucs,501.497750,501.497750,PASS
21,22:00,astar,501.497750,501.497750,PASS
22,22:00,ucs,580.832357,580.832357,PASS
22,22:00,astar,580.832357,580.832357,PASS
23,22:00,ucs,765.841143,765.841143,PASS
23,22:00,astar,765.841143,765.841143,PASS
24,22:00,ucs,409.384821,409.384821,PASS
24,22:00,astar,409.384821,409.384821,PASS
25,22:00,ucs,315.307786,315.307786,PASS
25,22:00,astar,315.307786,315.307786,PASS
26,22:00,ucs,790.383321,790.383321,PASS
26,22:00,astar,790.383321,790.383321,PASS
27,22:00,ucs,366.082500,366.082500,PASS
27,22:00,astar,366.082500,366.082500,PASS
28,22:00,ucs,613.379250,613.379250,PASS
28,22:00,astar,613.379250,613.379250,PASS
29,22:00,ucs,538.712339,538.712339,PASS
29,22:00,astar,538.712339,538.712339,PASS
30,22:00,ucs,407.178250,407.178250,PASS
30,22:00,astar,407.178250,407.178250,PASS
31,22:00,ucs,380.360786,380.360786,PASS
